New Price ($),Used Price ($),Inflation Rate (%),Interest Rate (%),Units Sold,Date
25000.0,18000.0,0.016,0.024,"28,500",2019-01-01
25000.0,17900.0,0.015,0.024,"29,000",2019-02-01
25000.0,17800.0,0.019,0.024,"31,500",2019-03-01
25000.0,17700.0,0.02,0.024,"30,000",2019-04-01
25000.0,17600.0,0.018000000000000002,0.024,"32,000",2019-05-01
25000.0,17500.0,0.016,0.024,"33,000",2019-06-01
25000.0,17400.0,0.018000000000000002,0.024,"34,500",2019-07-01
25000.0,17300.0,0.017,0.024,"35,000",2019-08-01
25000.0,17200.0,0.015,0.024,"33,500",2019-09-01
25000.0,17100.0,0.018000000000000002,0.024,"31,000",2019-10-01
25000.0,17000.0,0.021,0.024,"30,000",2019-11-01
25000.0,16900.0,0.023,0.024,"29,500",2019-12-01
25200.0,16800.0,0.025,0.0175,"28,000",2020-01-01
25200.0,16700.0,0.023,0.0175,"29,000",2020-02-01
25200.0,16600.0,0.015,0.0175,"20,500",2020-03-01
25200.0,16500.0,0.003,0.0025,"18,000",2020-04-01
25200.0,16400.0,0.001,0.0025,"21,000",2020-05-01
25200.0,16300.0,0.006,0.0025,"25,000",2020-06-01
25200.0,16200.0,0.01,0.0025,"27,000",2020-07-01
25200.0,16100.0,0.013000000000000001,0.0025,"28,500",2020-08-01
25200.0,16000.0,0.013999999999999999,0.0025,"30,000",2020-09-01
25200.0,15900.0,0.012,0.0025,"29,000",2020-10-01
25200.0,15800.0,0.011000000000000001,0.0025,"28,500",2020-11-01
25200.0,15700.0,0.013999999999999999,0.0025,"29,000",2020-12-01
25400.0,15600.0,0.013999999999999999,0.0025,"27,500",2021-01-01
25400.0,15500.0,0.017,0.0025,"28,000",2021-02-01
25400.0,15400.0,0.026000000000000002,0.0025,"32,000",2021-03-01
25400.0,15300.0,0.042,0.0025,"33,500",2021-04-01
25400.0,15200.0,0.049,0.0025,"35,000",2021-05-01
25400.0,15100.0,0.053,0.0025,"36,500",2021-06-01
25400.0,15000.0,0.054000000000000006,0.0025,"38,000",2021-07-01
25400.0,14900.0,0.052000000000000005,0.0025,"39,000",2021-08-01
25400.0,14800.0,0.054000000000000006,0.0025,"40,500",2021-09-01
25400.0,14700.0,0.062,0.0025,"41,000",2021-10-01
25400.0,14600.0,0.068,0.0025,"42,500",2021-11-01
25400.0,14500.0,0.07,0.0025,"43,000",2021-12-01
25600.0,14400.0,0.075,0.0025,"45,000",2022-01-01
25600.0,14300.0,0.079,0.0025,"46,500",2022-02-01
25600.0,14200.0,0.085,0.005,"48,000",2022-03-01
25600.0,14100.0,0.083,0.0075,"47,500",2022-04-01
25600.0,14000.0,0.086,0.01,"50,000",2022-05-01
25600.0,13900.0,0.091,0.015,"51,000",2022-06-01
25600.0,13800.0,0.085,0.025,"52,000",2022-07-01
25700.0,13900.0,0.083,0.025,"53,000",2022-08-01
25700.0,14000.0,0.08199999999999999,0.03,"55,000",2022-09-01
25700.0,14100.0,0.077,0.035,"56,000",2022-10-01
25800.0,14200.0,0.071,0.0375,"58,000",2022-11-01
25800.0,14300.0,0.065,0.0425,"59,000",2022-12-01
26000.0,14500.0,0.064,0.045,"60,000",2023-01-01
26000.0,14600.0,0.06,0.0475,"61,500",2023-02-01
26100.0,14700.0,0.057999999999999996,0.05,"63,000",2023-03-01
26200.0,14800.0,0.055,0.0525,"64,000",2023-04-01
26300.0,14900.0,0.052000000000000005,0.055,"65,000",2023-05-01
26400.0,15000.0,0.05,0.0575,"67,000",2023-06-01
26500.0,15100.0,0.049,0.0575,"68,500",2023-07-01
26600.0,15200.0,0.045,0.055,"70,000",2023-08-01
26700.0,15300.0,0.043,0.0525,"72,000",2023-09-01
26800.0,15400.0,0.04,0.05,"73,500",2023-10-01
26900.0,15500.0,0.038,0.0475,"74,000",2023-11-01
27000.0,15600.0,0.035,0.045,"75,000",2023-12-01
,,,,,
